
Host: RishiLaptop

Timers On : Wed Oct 15 18:52:45 2025
Timers Off: Wed Oct 15 18:55:14 2025

Wall Time:      148.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
build grid                          :      0.000u      0.000s      0.018w      1 calls
post-process grid                   :      0.000u      0.000s      0.011w      1 calls
Total PK formation time             :      0.000u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.044w      1 calls
SAD Guess                           :      0.000u      0.000s      0.042w      1 calls
HF: Form G                          :      0.000u      0.000s      0.474w      7 calls
RV: Form V                          :      0.000u      0.000s      0.472w      7 calls
Properties                          :      0.000u      0.000s      0.071w   3836 calls
Functional                          :      0.000u      0.000s      0.342w   3836 calls
V_xc                                :      0.000u      0.000s      0.054w   3836 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.000w      7 calls
PK computes JK                      :      0.000u      0.000s      0.000w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s    122.952w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
| build grid                        :      0.000u      0.000s      0.018w      1 calls
| post-process grid                 :      0.000u      0.000s      0.011w      1 calls
Total PK formation time             :      0.000u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.044w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.042w      1 calls
HF: Form G                          :      0.000u      0.000s      0.474w      7 calls
| RV: Form V                        :      0.000u      0.000s      0.472w      7 calls
| | Properties                      :      0.000u      0.000s      0.071w   3836 calls
| | Functional                      :      0.000u      0.000s      0.342w   3836 calls
| | V_xc                            :      0.000u      0.000s      0.054w   3836 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.000w      7 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      7 calls
